file,year,month,crs,width,height,pixel_size_x,pixel_size_y,px_m_east_west,px_m_north_south,approx_1km_ok,bounds_left,bounds_bottom,bounds_right,bounds_top,overlap_ratio_roi,overlap_ratio_img,align_ok_wgs84,band_count,band_descriptions,dtypes,nodata,band_stats
201906.tif,2019,6,EPSG:4326,45,24,0.008983152841195215,0.008983152841195215,659.2799493363534,998.9888074966779,True,2.1469735290456566,48.74258731632524,2.5512154068994413,48.958182984513925,1.0,0.9179351888544462,True,4,emis31; ndvi; mndwi; elevation,float32; float32; float32; float32,None; None; None; None,"b1:min=0.97,max=0.9825,mean=0.9711; b2:min=0.0944,max=0.8683,mean=0.4633; b3:min=-0.5789,max=-0.08621,mean=-0.3638; b4:min=26.4,max=178.2,mean=67.48"
201907.tif,2019,7,EPSG:4326,45,24,0.008983152841195215,0.008983152841195215,659.2799493363534,998.9888074966779,True,2.1469735290456566,48.74258731632524,2.5512154068994413,48.958182984513925,1.0,0.9179351888544462,True,4,emis31; ndvi; mndwi; elevation,float32; float32; float32; float32,None; None; None; None,"b1:min=0.97,max=0.9825,mean=0.9711; b2:min=0.1004,max=0.8508,mean=0.425; b3:min=-0.6087,max=-0.06495,mean=-0.3635; b4:min=26.4,max=178.2,mean=67.48"
201908.tif,2019,8,EPSG:4326,45,24,0.008983152841195215,0.008983152841195215,659.2799493363534,998.9888074966779,True,2.1469735290456566,48.74258731632524,2.5512154068994413,48.958182984513925,1.0,0.9179351888544462,True,4,emis31; ndvi; mndwi; elevation,float32; float32; float32; float32,None; None; None; None,"b1:min=0.97,max=0.9825,mean=0.9711; b2:min=0.074,max=0.8619,mean=0.4453; b3:min=-0.5851,max=-0.06806,mean=-0.3589; b4:min=26.4,max=178.2,mean=67.48"
202206.tif,2022,6,EPSG:4326,45,24,0.008983152841195215,0.008983152841195215,659.2799493363534,998.9888074966779,True,2.1469735290456566,48.74258731632524,2.5512154068994413,48.958182984513925,1.0,0.9179351888544462,True,4,emis31; ndvi; mndwi; elevation,float32; float32; float32; float32,None; None; None; None,"b1:min=0.97,max=0.9825,mean=0.9711; b2:min=0.1081,max=0.8902,mean=0.4608; b3:min=-0.5241,max=-0.1196,mean=-0.3363; b4:min=26.4,max=178.2,mean=67.48"
202207.tif,2022,7,EPSG:4326,45,24,0.008983152841195215,0.008983152841195215,659.2799493363534,998.9888074966779,True,2.1469735290456566,48.74258731632524,2.5512154068994413,48.958182984513925,1.0,0.9179351888544462,True,4,emis31; ndvi; mndwi; elevation,float32; float32; float32; float32,None; None; None; None,"b1:min=0.97,max=0.983,mean=0.9711; b2:min=0.1672,max=0.8508,mean=0.4145; b3:min=-0.5872,max=-0.1269,mean=-0.367; b4:min=26.4,max=178.2,mean=67.48"
202208.tif,2022,8,EPSG:4326,45,24,0.008983152841195215,0.008983152841195215,659.2799493363534,998.9888074966779,True,2.1469735290456566,48.74258731632524,2.5512154068994413,48.958182984513925,1.0,0.9179351888544462,True,4,emis31; ndvi; mndwi; elevation,float32; float32; float32; float32,None; None; None; None,"b1:min=0.97,max=0.983,mean=0.9711; b2:min=0.109,max=0.8458,mean=0.4295; b3:min=-0.5759,max=0.06683,mean=-0.3663; b4:min=26.4,max=178.2,mean=67.48"
