# METADATA:
# 000BV: Paris 5ème - Tour Zamansky, Jussieu
# 000CT: Paris 6ème - Saint Germain des Prés
# 000EW: Paris 20ème - Porte de Vincennes
# ME028: [MAE] Collège Jean Moulin - MONTREUIL
# ME098: [MAE] ESPE - PARIS
# ME099: [MAE] LATMOS - PARIS 
# STATIC0061: [MAE] Paris 12ème - Porte Dorée
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;pression_variation_3h;humidite;point_de_rosee;visibilite;vent_moyen;vent_rafales;vent_rafales_10min;vent_direction;temperature_min;temperature_max;pluie_1h;pluie_3h;pluie_6h;pluie_12h;pluie_24h;pluie_cumul_0h;pluie_intensite;pluie_intensite_max_1h;uv;uv_index;ensoleillement;temperature_sol;temps_omm;complements;source
string;YYYY-MM-DD hh:mm:ss;°C;hPa;hPa;%;°C;m;km/h;km/h;km/h;deg;°C;°C;mm;mm;mm;mm;mm;mm;mm/h;mm/h;W/m²;UV Index;hours;°C;https://www.infoclimat.fr/stations-meteo/ww.php;various;StatIC={oy1110,liveobjects,wlkIPxml,wlkLive,csv,weatherlink,vws,vws2,mnw,weewxPosteriori,wlk2webdlRR,wlkLivePostprocessed,wlk2webdl}|Synop={metno1,ogimet,bufr,inra,arpa-liguria,jma1,swiss-opendata,mcx,meteocentre,andorre,arpa-piemonte}
000BV;2022-07-01 00:00:00;13.9;1015.3;;81;10.6;;8;;16.1;231;13.8;14.9;;;;;;;;;0;0;;;;0@@0@@796@@@17.7@15.7@15.7@17@2:01am@12:00am@13.3@13.9@19.22@55@52@56@12:00am@1:54am@2400@1353@+0200;wlkIPxml
000BV;2022-07-01 00:10:00;13.9;1015.4;;81;10.6;;6.4;;11.3;229;13.8;14.9;;;;;;;;;0;0;;;;0@@0@@796@@@17.7@15.7@15.7@17@2:09am@12:00am@13.9@13.9@19.22@55@52@56@12:00am@1:54am@2400@1353@+0200;wlkIPxml
000BV;2022-07-01 00:20:00;13.8;1015.3;;81;10.6;;4.8;;8;110;13.8;14.9;;;;;;;;;0;0;;;;0@@0@@796@@@17.7@15.6@15.6@17@2:18am@12:00am@13.9@13.9@19.22@55@52@56@12:00am@1:54am@2400@1419@+0200;wlkIPxml
000BV;2022-07-01 00:30:00;13.5;1015.4;;82;10.6;;4.8;;11.3;234;13.5;14.9;;;;;;;;;0;0;;;;0@@0@@796@@@17.7@15.4@15.4@17@2:29am@12:00am@13.3@13.3@19.22@55@52@56@12:00am@1:54am@2400@1429@+0200;wlkIPxml
000BV;2022-07-01 00:40:00;13.3;1015.6;;82;10.6;;6.4;;16.1;202;13.3;14.9;;;;;;;;;0;0;;;;0@@0@@796@@@17.7@15.3@15.3@17@2:40am@12:00am@12.8@13.3@19.22@55@52@56@12:00am@1:54am@2400@1440@+0200;wlkIPxml
000BV;2022-07-01 00:50:00;13.2;1015.4;;83;10.6;;6.4;;20.9;219;13.2;14.9;;;;;;;;;0;0;;;;0@@0@@796@@@20.9@15.2@15.2@17@2:49am@12:00am@13.3@13.3@19.22@55@52@56@12:00am@1:54am@2400@1448@+0200;wlkIPxml
000BV;2022-07-01 01:00:00;13.1;1015.4;;83;10.6;;4.8;;14.5;233;13.1;14.9;;;;;;;;;0;0;;;;0@@0@@796@@@20.9@15.1@15.1@17@2:59am@12:00am@12.8@13.3@19.22@55@52@56@12:00am@1:54am@2400@1458@+0200;wlkIPxml
000BV;2022-07-01 01:10:00;13.1;1015.5;;84;10.6;;8;;14.5;217;13.1;14.9;;;;;;;;;0;0;;;;0@@0@@796@@@20.9@15@15.1@17@3:06am@12:00am@13.3@13.3@19.22@55@52@56@12:00am@1:54am@2400@1502@+0200;wlkIPxml
000BV;2022-07-01 01:20:00;12.9;1015.6;;84;10.6;;8;;12.9;222;12.9;14.9;;;;;;;;;0;0;;;;0@@0@@796@@@20.9@14.9@14.9@17@3:17am@12:00am@11.7@12.8@19.22@55@52@56@12:00am@1:54am@2400@1519@+0200;wlkIPxml
