,count,unique,top,freq,mean,min,25%,50%,75%,max,std,missing_count,missing_ratio
station_name,11960,5,b'LONGCHAMP',2392,,,,,,,,0,0.0
lon,11960.0,,,,2.347080039978027,2.2337000370025635,2.3338000774383545,2.3378000259399414,2.3378000259399414,2.492300033569336,0.08281948302465403,0,0.0
lat,11960.0,,,,48.83032073974609,48.80870056152344,48.82170104980469,48.82170104980469,48.84469985961914,48.854801177978516,0.01686534952603029,0,0.0
alt,11960.0,,,,54.2,27.0,46.0,48.0,75.0,75.0,18.49834076580609,0,0.0
time,11960,,,,2021-01-14 22:59:59.999999744+01:00,2019-06-01 06:00:00+02:00,2019-07-17 03:00:00+02:00,2021-01-14 23:00:00+01:00,2022-07-16 21:00:00+02:00,2022-08-31 18:00:00+02:00,,0,0.0
ta_C,11944.0,,,,22.44870948791504,6.100006103515625,18.300018310546875,22.100006103515625,26.20001220703125,43.300018310546875,5.6337890625,16,0.0013377926421404682
cumul_precip,9516.0,,,,0.055727194994688034,0.0,0.0,0.0,0.0,26.299999237060547,0.5819926857948303,2444,0.20434782608695654
