station,time,lat,lon,temperature
000BV,2022-06-01 06:00:00+02:00,48.847,2.356,13.333333333333334
000BV,2022-06-01 07:00:00+02:00,48.847,2.356,13.733333333333334
000BV,2022-06-01 08:00:00+02:00,48.847,2.356,14.6
000BV,2022-06-01 09:00:00+02:00,48.847,2.356,15.966666666666667
000BV,2022-06-01 10:00:00+02:00,48.847,2.356,16.98333333333333
000BV,2022-06-01 11:00:00+02:00,48.847,2.356,18.266666666666666
000BV,2022-06-01 12:00:00+02:00,48.847,2.356,19.416666666666668
000BV,2022-06-01 13:00:00+02:00,48.847,2.356,19.55
000BV,2022-06-01 14:00:00+02:00,48.847,2.356,19.05
000BV,2022-06-01 15:00:00+02:00,48.847,2.356,19.433333333333334
000BV,2022-06-01 16:00:00+02:00,48.847,2.356,20.099999999999998
000BV,2022-06-01 17:00:00+02:00,48.847,2.356,20.099999999999998
000BV,2022-06-01 18:00:00+02:00,48.847,2.356,20.666666666666668
000BV,2022-06-02 06:00:00+02:00,48.847,2.356,12.316666666666668
000BV,2022-06-02 07:00:00+02:00,48.847,2.356,13.233333333333334
000BV,2022-06-02 08:00:00+02:00,48.847,2.356,13.866666666666667
000BV,2022-06-02 09:00:00+02:00,48.847,2.356,15.4
000BV,2022-06-02 10:00:00+02:00,48.847,2.356,17.316666666666666
000BV,2022-06-02 11:00:00+02:00,48.847,2.356,18.383333333333333
000BV,2022-06-02 12:00:00+02:00,48.847,2.356,19.883333333333333
000BV,2022-06-02 13:00:00+02:00,48.847,2.356,20.783333333333335
000BV,2022-06-02 14:00:00+02:00,48.847,2.356,21.55
000BV,2022-06-02 15:00:00+02:00,48.847,2.356,22.2
000BV,2022-06-02 16:00:00+02:00,48.847,2.356,23.03333333333333
000BV,2022-06-02 17:00:00+02:00,48.847,2.356,23.416666666666668
000BV,2022-06-02 18:00:00+02:00,48.847,2.356,23.25
000BV,2022-06-03 06:00:00+02:00,48.847,2.356,15.850000000000001
000BV,2022-06-03 07:00:00+02:00,48.847,2.356,16.05
000BV,2022-06-03 08:00:00+02:00,48.847,2.356,16.816666666666666
000BV,2022-06-03 09:00:00+02:00,48.847,2.356,17.683333333333334
000BV,2022-06-03 10:00:00+02:00,48.847,2.356,18.683333333333334
000BV,2022-06-03 11:00:00+02:00,48.847,2.356,19.7
000BV,2022-06-03 12:00:00+02:00,48.847,2.356,20.783333333333335
000BV,2022-06-03 13:00:00+02:00,48.847,2.356,21.5
000BV,2022-06-03 14:00:00+02:00,48.847,2.356,20.183333333333334
000BV,2022-06-03 15:00:00+02:00,48.847,2.356,18.833333333333332
000BV,2022-06-03 16:00:00+02:00,48.847,2.356,19.0
000BV,2022-06-03 17:00:00+02:00,48.847,2.356,19.46666666666667
000BV,2022-06-03 18:00:00+02:00,48.847,2.356,20.25
000BV,2022-06-04 06:00:00+02:00,48.847,2.356,16.666666666666668
000BV,2022-06-04 07:00:00+02:00,48.847,2.356,16.740000000000002
000BV,2022-06-04 08:00:00+02:00,48.847,2.356,17.2
000BV,2022-06-04 09:00:00+02:00,48.847,2.356,17.366666666666664
000BV,2022-06-04 10:00:00+02:00,48.847,2.356,18.349999999999998
000BV,2022-06-04 11:00:00+02:00,48.847,2.356,20.716666666666665
000BV,2022-06-04 12:00:00+02:00,48.847,2.356,22.71666666666667
000BV,2022-06-04 13:00:00+02:00,48.847,2.356,24.733333333333334
000BV,2022-06-04 14:00:00+02:00,48.847,2.356,26.7
000BV,2022-06-04 15:00:00+02:00,48.847,2.356,27.066666666666666
000BV,2022-06-04 16:00:00+02:00,48.847,2.356,26.21666666666667
000BV,2022-06-04 17:00:00+02:00,48.847,2.356,23.96
000BV,2022-06-04 18:00:00+02:00,48.847,2.356,18.933333333333334
000BV,2022-06-05 06:00:00+02:00,48.847,2.356,16.616666666666667
000BV,2022-06-05 07:00:00+02:00,48.847,2.356,17.3
000BV,2022-06-05 08:00:00+02:00,48.847,2.356,17.933333333333334
000BV,2022-06-05 09:00:00+02:00,48.847,2.356,19.016666666666666
000BV,2022-06-05 10:00:00+02:00,48.847,2.356,19.533333333333335
000BV,2022-06-05 11:00:00+02:00,48.847,2.356,19.21666666666667
000BV,2022-06-05 12:00:00+02:00,48.847,2.356,18.419999999999998
000BV,2022-06-05 13:00:00+02:00,48.847,2.356,18.066666666666666
000BV,2022-06-05 14:00:00+02:00,48.847,2.356,18.68
000BV,2022-06-05 15:00:00+02:00,48.847,2.356,19.466666666666665
000BV,2022-06-05 16:00:00+02:00,48.847,2.356,19.566666666666666
000BV,2022-06-05 17:00:00+02:00,48.847,2.356,20.633333333333333
000BV,2022-06-05 18:00:00+02:00,48.847,2.356,21.05
000BV,2022-06-06 06:00:00+02:00,48.847,2.356,13.950000000000001
000BV,2022-06-06 07:00:00+02:00,48.847,2.356,13.816666666666665
000BV,2022-06-06 08:00:00+02:00,48.847,2.356,14.583333333333334
000BV,2022-06-06 09:00:00+02:00,48.847,2.356,15.583333333333334
000BV,2022-06-06 10:00:00+02:00,48.847,2.356,16.400000000000002
000BV,2022-06-06 11:00:00+02:00,48.847,2.356,17.099999999999998
000BV,2022-06-06 12:00:00+02:00,48.847,2.356,17.599999999999998
000BV,2022-06-06 13:00:00+02:00,48.847,2.356,18.766666666666666
000BV,2022-06-06 14:00:00+02:00,48.847,2.356,18.849999999999998
000BV,2022-06-06 15:00:00+02:00,48.847,2.356,19.45
000BV,2022-06-06 16:00:00+02:00,48.847,2.356,20.2
000BV,2022-06-06 17:00:00+02:00,48.847,2.356,20.133333333333333
000BV,2022-06-06 18:00:00+02:00,48.847,2.356,20.05
000BV,2022-06-07 06:00:00+02:00,48.847,2.356,15.116666666666667
000BV,2022-06-07 07:00:00+02:00,48.847,2.356,15.016666666666666
000BV,2022-06-07 08:00:00+02:00,48.847,2.356,15.299999999999999
000BV,2022-06-07 09:00:00+02:00,48.847,2.356,15.299999999999999
000BV,2022-06-07 10:00:00+02:00,48.847,2.356,16.349999999999998
000BV,2022-06-07 11:00:00+02:00,48.847,2.356,17.616666666666667
000BV,2022-06-07 12:00:00+02:00,48.847,2.356,18.816666666666666
000BV,2022-06-07 13:00:00+02:00,48.847,2.356,19.3
000BV,2022-06-07 14:00:00+02:00,48.847,2.356,20.116666666666667
000BV,2022-06-07 15:00:00+02:00,48.847,2.356,20.633333333333333
000BV,2022-06-07 16:00:00+02:00,48.847,2.356,20.883333333333333
000BV,2022-06-07 17:00:00+02:00,48.847,2.356,20.816666666666666
000BV,2022-06-07 18:00:00+02:00,48.847,2.356,21.683333333333334
000BV,2022-06-08 06:00:00+02:00,48.847,2.356,14.049999999999999
000BV,2022-06-08 07:00:00+02:00,48.847,2.356,13.766666666666666
000BV,2022-06-08 08:00:00+02:00,48.847,2.356,13.699999999999998
000BV,2022-06-08 09:00:00+02:00,48.847,2.356,13.850000000000001
000BV,2022-06-08 10:00:00+02:00,48.847,2.356,14.65
000BV,2022-06-08 11:00:00+02:00,48.847,2.356,16.083333333333332
000BV,2022-06-08 12:00:00+02:00,48.847,2.356,17.75
000BV,2022-06-08 13:00:00+02:00,48.847,2.356,17.333333333333332
000BV,2022-06-08 14:00:00+02:00,48.847,2.356,18.8
000BV,2022-06-08 15:00:00+02:00,48.847,2.356,19.849999999999998
000BV,2022-06-08 16:00:00+02:00,48.847,2.356,19.416666666666668
000BV,2022-06-08 17:00:00+02:00,48.847,2.356,20.080000000000002
000BV,2022-06-08 18:00:00+02:00,48.847,2.356,19.349999999999998
000BV,2022-06-09 06:00:00+02:00,48.847,2.356,12.216666666666667
000BV,2022-06-09 07:00:00+02:00,48.847,2.356,12.783333333333333
000BV,2022-06-09 08:00:00+02:00,48.847,2.356,13.266666666666666
000BV,2022-06-09 09:00:00+02:00,48.847,2.356,14.4
000BV,2022-06-09 10:00:00+02:00,48.847,2.356,15.233333333333334
000BV,2022-06-09 11:00:00+02:00,48.847,2.356,16.383333333333333
000BV,2022-06-09 12:00:00+02:00,48.847,2.356,16.849999999999998
000BV,2022-06-09 13:00:00+02:00,48.847,2.356,17.833333333333332
000BV,2022-06-09 14:00:00+02:00,48.847,2.356,18.75
000BV,2022-06-09 15:00:00+02:00,48.847,2.356,19.433333333333334
000BV,2022-06-09 16:00:00+02:00,48.847,2.356,19.716666666666665
000BV,2022-06-09 17:00:00+02:00,48.847,2.356,19.983333333333334
000BV,2022-06-09 18:00:00+02:00,48.847,2.356,19.816666666666666
000BV,2022-06-10 06:00:00+02:00,48.847,2.356,15.283333333333333
000BV,2022-06-10 07:00:00+02:00,48.847,2.356,15.950000000000001
000BV,2022-06-10 08:00:00+02:00,48.847,2.356,17.033333333333335
000BV,2022-06-10 09:00:00+02:00,48.847,2.356,18.400000000000002
000BV,2022-06-10 10:00:00+02:00,48.847,2.356,19.216666666666665
000BV,2022-06-10 11:00:00+02:00,48.847,2.356,20.116666666666667
000BV,2022-06-10 12:00:00+02:00,48.847,2.356,20.683333333333334
000BV,2022-06-10 13:00:00+02:00,48.847,2.356,20.849999999999998
000BV,2022-06-10 14:00:00+02:00,48.847,2.356,21.083333333333332
000BV,2022-06-10 15:00:00+02:00,48.847,2.356,20.9
000BV,2022-06-10 16:00:00+02:00,48.847,2.356,21.21666666666667
000BV,2022-06-10 17:00:00+02:00,48.847,2.356,21.066666666666666
000BV,2022-06-10 18:00:00+02:00,48.847,2.356,21.033333333333335
000BV,2022-06-11 06:00:00+02:00,48.847,2.356,16.5
000BV,2022-06-11 07:00:00+02:00,48.847,2.356,17.0
000BV,2022-06-11 08:00:00+02:00,48.847,2.356,17.633333333333333
000BV,2022-06-11 09:00:00+02:00,48.847,2.356,18.05
000BV,2022-06-11 10:00:00+02:00,48.847,2.356,19.04
000BV,2022-06-11 11:00:00+02:00,48.847,2.356,20.0
000BV,2022-06-11 12:00:00+02:00,48.847,2.356,21.516666666666666
000BV,2022-06-11 13:00:00+02:00,48.847,2.356,22.349999999999998
000BV,2022-06-11 14:00:00+02:00,48.847,2.356,23.419999999999998
000BV,2022-06-11 15:00:00+02:00,48.847,2.356,23.5
000BV,2022-06-11 16:00:00+02:00,48.847,2.356,23.816666666666666
000BV,2022-06-11 17:00:00+02:00,48.847,2.356,24.666666666666668
000BV,2022-06-11 18:00:00+02:00,48.847,2.356,24.849999999999998
000BV,2022-06-12 06:00:00+02:00,48.847,2.356,14.433333333333332
000BV,2022-06-12 07:00:00+02:00,48.847,2.356,14.833333333333334
000BV,2022-06-12 08:00:00+02:00,48.847,2.356,15.700000000000001
000BV,2022-06-12 09:00:00+02:00,48.847,2.356,16.966666666666665
000BV,2022-06-12 10:00:00+02:00,48.847,2.356,18.066666666666666
000BV,2022-06-12 11:00:00+02:00,48.847,2.356,19.116666666666664
000BV,2022-06-12 12:00:00+02:00,48.847,2.356,20.083333333333332
000BV,2022-06-12 13:00:00+02:00,48.847,2.356,20.883333333333333
000BV,2022-06-12 14:00:00+02:00,48.847,2.356,21.666666666666668
000BV,2022-06-12 15:00:00+02:00,48.847,2.356,22.28333333333333
000BV,2022-06-12 16:00:00+02:00,48.847,2.356,22.849999999999998
000BV,2022-06-12 17:00:00+02:00,48.847,2.356,22.78333333333333
000BV,2022-06-12 18:00:00+02:00,48.847,2.356,22.95
000BV,2022-06-13 06:00:00+02:00,48.847,2.356,12.466666666666667
000BV,2022-06-13 07:00:00+02:00,48.847,2.356,13.15
000BV,2022-06-13 08:00:00+02:00,48.847,2.356,14.049999999999999
000BV,2022-06-13 09:00:00+02:00,48.847,2.356,15.416666666666666
000BV,2022-06-13 10:00:00+02:00,48.847,2.356,16.883333333333333
000BV,2022-06-13 11:00:00+02:00,48.847,2.356,18.0
000BV,2022-06-13 12:00:00+02:00,48.847,2.356,18.933333333333334
000BV,2022-06-13 13:00:00+02:00,48.847,2.356,19.633333333333333
000BV,2022-06-13 14:00:00+02:00,48.847,2.356,20.36
000BV,2022-06-13 15:00:00+02:00,48.847,2.356,21.033333333333335
000BV,2022-06-13 16:00:00+02:00,48.847,2.356,21.583333333333332
000BV,2022-06-13 17:00:00+02:00,48.847,2.356,22.166666666666668
000BV,2022-06-13 18:00:00+02:00,48.847,2.356,22.03333333333333
000BV,2022-06-14 06:00:00+02:00,48.847,2.356,14.86
000BV,2022-06-14 07:00:00+02:00,48.847,2.356,15.516666666666666
000BV,2022-06-14 08:00:00+02:00,48.847,2.356,16.533333333333335
000BV,2022-06-14 09:00:00+02:00,48.847,2.356,18.033333333333335
000BV,2022-06-14 10:00:00+02:00,48.847,2.356,19.400000000000002
000BV,2022-06-14 11:00:00+02:00,48.847,2.356,20.650000000000002
000BV,2022-06-14 12:00:00+02:00,48.847,2.356,21.7
000BV,2022-06-14 13:00:00+02:00,48.847,2.356,22.316666666666666
000BV,2022-06-14 14:00:00+02:00,48.847,2.356,23.316666666666666
000BV,2022-06-14 15:00:00+02:00,48.847,2.356,24.316666666666666
000BV,2022-06-14 16:00:00+02:00,48.847,2.356,24.900000000000002
000BV,2022-06-14 17:00:00+02:00,48.847,2.356,25.233333333333334
000BV,2022-06-14 18:00:00+02:00,48.847,2.356,25.483333333333334
000BV,2022-06-15 06:00:00+02:00,48.847,2.356,17.066666666666666
000BV,2022-06-15 07:00:00+02:00,48.847,2.356,17.849999999999998
000BV,2022-06-15 08:00:00+02:00,48.847,2.356,19.166666666666668
000BV,2022-06-15 09:00:00+02:00,48.847,2.356,20.716666666666665
000BV,2022-06-15 10:00:00+02:00,48.847,2.356,22.75
000BV,2022-06-15 11:00:00+02:00,48.847,2.356,24.366666666666664
000BV,2022-06-15 12:00:00+02:00,48.847,2.356,25.650000000000002
000BV,2022-06-15 13:00:00+02:00,48.847,2.356,26.733333333333334
000BV,2022-06-15 14:00:00+02:00,48.847,2.356,27.483333333333334
000BV,2022-06-15 15:00:00+02:00,48.847,2.356,28.133333333333336
000BV,2022-06-15 16:00:00+02:00,48.847,2.356,28.78333333333333
000BV,2022-06-15 17:00:00+02:00,48.847,2.356,29.03333333333333
000BV,2022-06-15 18:00:00+02:00,48.847,2.356,29.03333333333333
000BV,2022-06-16 06:00:00+02:00,48.847,2.356,18.650000000000002
000BV,2022-06-16 07:00:00+02:00,48.847,2.356,18.933333333333334
000BV,2022-06-16 08:00:00+02:00,48.847,2.356,19.766666666666666
000BV,2022-06-16 09:00:00+02:00,48.847,2.356,21.25
000BV,2022-06-16 10:00:00+02:00,48.847,2.356,22.71666666666667
000BV,2022-06-16 11:00:00+02:00,48.847,2.356,23.866666666666664
000BV,2022-06-16 12:00:00+02:00,48.847,2.356,25.033333333333335
000BV,2022-06-16 13:00:00+02:00,48.847,2.356,25.866666666666664
000BV,2022-06-16 14:00:00+02:00,48.847,2.356,26.516666666666666
000BV,2022-06-16 15:00:00+02:00,48.847,2.356,27.439999999999998
000BV,2022-06-16 16:00:00+02:00,48.847,2.356,28.0
000BV,2022-06-16 17:00:00+02:00,48.847,2.356,28.400000000000002
000BV,2022-06-16 18:00:00+02:00,48.847,2.356,28.5
000BV,2022-06-17 06:00:00+02:00,48.847,2.356,20.683333333333334
000BV,2022-06-17 07:00:00+02:00,48.847,2.356,21.066666666666666
000BV,2022-06-17 08:00:00+02:00,48.847,2.356,22.016666666666666
000BV,2022-06-17 09:00:00+02:00,48.847,2.356,23.766666666666666
000BV,2022-06-17 10:00:00+02:00,48.847,2.356,26.450000000000003
000BV,2022-06-17 11:00:00+02:00,48.847,2.356,27.3
000BV,2022-06-17 12:00:00+02:00,48.847,2.356,28.383333333333336
000BV,2022-06-17 13:00:00+02:00,48.847,2.356,29.55
000BV,2022-06-17 14:00:00+02:00,48.847,2.356,30.8
000BV,2022-06-17 15:00:00+02:00,48.847,2.356,31.400000000000002
000BV,2022-06-17 16:00:00+02:00,48.847,2.356,32.28333333333333
000BV,2022-06-17 17:00:00+02:00,48.847,2.356,32.65
000BV,2022-06-17 18:00:00+02:00,48.847,2.356,33.15
000BV,2022-06-18 06:00:00+02:00,48.847,2.356,23.066666666666666
000BV,2022-06-18 07:00:00+02:00,48.847,2.356,23.28333333333333
000BV,2022-06-18 08:00:00+02:00,48.847,2.356,24.166666666666668
000BV,2022-06-18 09:00:00+02:00,48.847,2.356,26.3
000BV,2022-06-18 10:00:00+02:00,48.847,2.356,28.416666666666668
000BV,2022-06-18 11:00:00+02:00,48.847,2.356,30.599999999999998
000BV,2022-06-18 12:00:00+02:00,48.847,2.356,31.900000000000002
000BV,2022-06-18 13:00:00+02:00,48.847,2.356,32.983333333333334
000BV,2022-06-18 14:00:00+02:00,48.847,2.356,33.300000000000004
000BV,2022-06-18 15:00:00+02:00,48.847,2.356,33.81666666666666
000BV,2022-06-18 16:00:00+02:00,48.847,2.356,34.333333333333336
000BV,2022-06-18 17:00:00+02:00,48.847,2.356,34.78333333333333
000BV,2022-06-18 18:00:00+02:00,48.847,2.356,34.88333333333333
000BV,2022-06-19 06:00:00+02:00,48.847,2.356,15.616666666666667
000BV,2022-06-19 07:00:00+02:00,48.847,2.356,15.116666666666667
000BV,2022-06-19 08:00:00+02:00,48.847,2.356,14.9
000BV,2022-06-19 09:00:00+02:00,48.847,2.356,14.816666666666668
000BV,2022-06-19 10:00:00+02:00,48.847,2.356,15.166666666666666
000BV,2022-06-19 11:00:00+02:00,48.847,2.356,16.133333333333333
000BV,2022-06-19 12:00:00+02:00,48.847,2.356,18.166666666666668
000BV,2022-06-19 13:00:00+02:00,48.847,2.356,19.099999999999998
000BV,2022-06-19 14:00:00+02:00,48.847,2.356,18.833333333333332
000BV,2022-06-19 15:00:00+02:00,48.847,2.356,20.599999999999998
000BV,2022-06-19 16:00:00+02:00,48.847,2.356,21.916666666666668
000BV,2022-06-19 17:00:00+02:00,48.847,2.356,22.5
000BV,2022-06-19 18:00:00+02:00,48.847,2.356,22.516666666666666
000BV,2022-06-20 06:00:00+02:00,48.847,2.356,14.566666666666668
000BV,2022-06-20 07:00:00+02:00,48.847,2.356,14.266666666666666
000BV,2022-06-20 08:00:00+02:00,48.847,2.356,14.183333333333332
000BV,2022-06-20 09:00:00+02:00,48.847,2.356,14.033333333333333
000BV,2022-06-20 10:00:00+02:00,48.847,2.356,14.15
000BV,2022-06-20 11:00:00+02:00,48.847,2.356,14.6
000BV,2022-06-20 12:00:00+02:00,48.847,2.356,15.483333333333334
000BV,2022-06-20 13:00:00+02:00,48.847,2.356,16.833333333333332
