station,time,lat,lon,temperature
000BV,2019-06-06 18:00:00+02:00,48.847,2.356,18.316666666666666
000BV,2019-06-07 06:00:00+02:00,48.847,2.356,14.733333333333334
000BV,2019-06-07 07:00:00+02:00,48.847,2.356,14.633333333333333
000BV,2019-06-07 08:00:00+02:00,48.847,2.356,14.416666666666666
000BV,2019-06-07 09:00:00+02:00,48.847,2.356,15.299999999999999
000BV,2019-06-07 10:00:00+02:00,48.847,2.356,15.616666666666667
000BV,2019-06-07 11:00:00+02:00,48.847,2.356,15.283333333333333
000BV,2019-06-07 12:00:00+02:00,48.847,2.356,14.833333333333334
000BV,2019-06-07 13:00:00+02:00,48.847,2.356,14.15
000BV,2019-06-07 14:00:00+02:00,48.847,2.356,14.266666666666666
000BV,2019-06-07 15:00:00+02:00,48.847,2.356,15.4
000BV,2019-06-07 16:00:00+02:00,48.847,2.356,16.2
000BV,2019-06-07 17:00:00+02:00,48.847,2.356,15.700000000000001
000BV,2019-06-07 18:00:00+02:00,48.847,2.356,15.1
000BV,2019-06-08 06:00:00+02:00,48.847,2.356,11.783333333333333
000BV,2019-06-08 07:00:00+02:00,48.847,2.356,11.933333333333332
000BV,2019-06-08 08:00:00+02:00,48.847,2.356,12.483333333333334
000BV,2019-06-08 09:00:00+02:00,48.847,2.356,13.35
000BV,2019-06-08 10:00:00+02:00,48.847,2.356,14.0
000BV,2019-06-08 11:00:00+02:00,48.847,2.356,15.166666666666666
000BV,2019-06-08 12:00:00+02:00,48.847,2.356,16.133333333333333
000BV,2019-06-08 13:00:00+02:00,48.847,2.356,16.966666666666665
000BV,2019-06-08 14:00:00+02:00,48.847,2.356,17.099999999999998
000BV,2019-06-08 15:00:00+02:00,48.847,2.356,17.76666666666667
000BV,2019-06-08 16:00:00+02:00,48.847,2.356,18.516666666666666
000BV,2019-06-08 17:00:00+02:00,48.847,2.356,17.75
000BV,2019-06-08 18:00:00+02:00,48.847,2.356,17.45
000BV,2019-06-09 06:00:00+02:00,48.847,2.356,13.75
000BV,2019-06-09 07:00:00+02:00,48.847,2.356,14.549999999999999
000BV,2019-06-09 08:00:00+02:00,48.847,2.356,14.883333333333333
000BV,2019-06-09 09:00:00+02:00,48.847,2.356,15.366666666666667
000BV,2019-06-09 10:00:00+02:00,48.847,2.356,15.816666666666668
000BV,2019-06-09 11:00:00+02:00,48.847,2.356,16.533333333333335
000BV,2019-06-09 12:00:00+02:00,48.847,2.356,15.716666666666667
000BV,2019-06-09 13:00:00+02:00,48.847,2.356,15.299999999999999
000BV,2019-06-09 14:00:00+02:00,48.847,2.356,17.0
000BV,2019-06-09 15:00:00+02:00,48.847,2.356,18.7
000BV,2019-06-09 16:00:00+02:00,48.847,2.356,19.400000000000002
000BV,2019-06-09 17:00:00+02:00,48.847,2.356,19.05
000BV,2019-06-09 18:00:00+02:00,48.847,2.356,19.259999999999998
000BV,2019-06-10 06:00:00+02:00,48.847,2.356,13.75
000BV,2019-06-10 07:00:00+02:00,48.847,2.356,14.633333333333333
000BV,2019-06-10 08:00:00+02:00,48.847,2.356,15.299999999999999
000BV,2019-06-10 09:00:00+02:00,48.847,2.356,15.716666666666667
000BV,2019-06-10 10:00:00+02:00,48.847,2.356,15.716666666666667
000BV,2019-06-10 11:00:00+02:00,48.847,2.356,15.383333333333333
000BV,2019-06-10 12:00:00+02:00,48.847,2.356,16.0
000BV,2019-06-10 13:00:00+02:00,48.847,2.356,16.833333333333332
000BV,2019-06-10 14:00:00+02:00,48.847,2.356,16.916666666666668
000BV,2019-06-10 15:00:00+02:00,48.847,2.356,16.06
000BV,2019-06-10 16:00:00+02:00,48.847,2.356,15.683333333333332
000BV,2019-06-10 17:00:00+02:00,48.847,2.356,15.950000000000001
000BV,2019-06-10 18:00:00+02:00,48.847,2.356,15.74
000BV,2019-06-11 06:00:00+02:00,48.847,2.356,11.533333333333333
000BV,2019-06-11 07:00:00+02:00,48.847,2.356,12.466666666666667
000BV,2019-06-11 08:00:00+02:00,48.847,2.356,12.933333333333332
000BV,2019-06-11 09:00:00+02:00,48.847,2.356,13.916666666666666
000BV,2019-06-11 10:00:00+02:00,48.847,2.356,15.033333333333333
000BV,2019-06-11 11:00:00+02:00,48.847,2.356,15.166666666666666
000BV,2019-06-11 12:00:00+02:00,48.847,2.356,16.016666666666666
000BV,2019-06-11 13:00:00+02:00,48.847,2.356,16.866666666666667
000BV,2019-06-11 14:00:00+02:00,48.847,2.356,17.580000000000002
000BV,2019-06-11 15:00:00+02:00,48.847,2.356,17.919999999999998
000BV,2019-06-11 16:00:00+02:00,48.847,2.356,17.25
000BV,2019-06-11 17:00:00+02:00,48.847,2.356,16.7
000BV,2019-06-11 18:00:00+02:00,48.847,2.356,14.616666666666667
000BV,2019-06-12 06:00:00+02:00,48.847,2.356,10.25
000BV,2019-06-12 07:00:00+02:00,48.847,2.356,10.016666666666667
000BV,2019-06-12 08:00:00+02:00,48.847,2.356,10.133333333333333
000BV,2019-06-12 09:00:00+02:00,48.847,2.356,11.216666666666667
000BV,2019-06-12 10:00:00+02:00,48.847,2.356,12.75
000BV,2019-06-12 11:00:00+02:00,48.847,2.356,13.85
000BV,2019-06-12 12:00:00+02:00,48.847,2.356,14.75
000BV,2019-06-12 13:00:00+02:00,48.847,2.356,14.766666666666666
000BV,2019-06-12 14:00:00+02:00,48.847,2.356,14.416666666666666
000BV,2019-06-12 15:00:00+02:00,48.847,2.356,14.083333333333334
000BV,2019-06-12 16:00:00+02:00,48.847,2.356,15.883333333333333
000BV,2019-06-12 17:00:00+02:00,48.847,2.356,14.283333333333333
000BV,2019-06-12 18:00:00+02:00,48.847,2.356,14.816666666666668
000BV,2019-06-13 06:00:00+02:00,48.847,2.356,10.533333333333333
000BV,2019-06-13 07:00:00+02:00,48.847,2.356,10.75
000BV,2019-06-13 08:00:00+02:00,48.847,2.356,11.633333333333333
000BV,2019-06-13 09:00:00+02:00,48.847,2.356,12.483333333333334
000BV,2019-06-13 10:00:00+02:00,48.847,2.356,13.780000000000001
000BV,2019-06-13 11:00:00+02:00,48.847,2.356,14.266666666666666
000BV,2019-06-13 12:00:00+02:00,48.847,2.356,15.616666666666667
000BV,2019-06-13 13:00:00+02:00,48.847,2.356,16.349999999999998
000BV,2019-06-13 14:00:00+02:00,48.847,2.356,17.349999999999998
000BV,2019-06-13 15:00:00+02:00,48.847,2.356,17.283333333333335
000BV,2019-06-13 16:00:00+02:00,48.847,2.356,17.283333333333335
000BV,2019-06-13 17:00:00+02:00,48.847,2.356,18.78
000BV,2019-06-13 18:00:00+02:00,48.847,2.356,18.2
000BV,2019-06-14 06:00:00+02:00,48.847,2.356,14.580000000000002
000BV,2019-06-14 07:00:00+02:00,48.847,2.356,14.766666666666666
000BV,2019-06-14 08:00:00+02:00,48.847,2.356,15.533333333333333
000BV,2019-06-14 09:00:00+02:00,48.847,2.356,16.283333333333335
000BV,2019-06-14 10:00:00+02:00,48.847,2.356,17.833333333333332
000BV,2019-06-14 11:00:00+02:00,48.847,2.356,19.016666666666666
000BV,2019-06-14 12:00:00+02:00,48.847,2.356,19.22
000BV,2019-06-14 13:00:00+02:00,48.847,2.356,19.916666666666668
000BV,2019-06-14 14:00:00+02:00,48.847,2.356,20.8
000BV,2019-06-14 15:00:00+02:00,48.847,2.356,21.983333333333334
000BV,2019-06-14 16:00:00+02:00,48.847,2.356,22.099999999999998
000BV,2019-06-14 17:00:00+02:00,48.847,2.356,22.566666666666666
000BV,2019-06-14 18:00:00+02:00,48.847,2.356,22.566666666666666
000BV,2019-06-15 06:00:00+02:00,48.847,2.356,15.783333333333333
000BV,2019-06-15 07:00:00+02:00,48.847,2.356,15.833333333333334
000BV,2019-06-15 08:00:00+02:00,48.847,2.356,16.516666666666666
000BV,2019-06-15 09:00:00+02:00,48.847,2.356,17.483333333333334
000BV,2019-06-15 10:00:00+02:00,48.847,2.356,18.666666666666668
000BV,2019-06-15 11:00:00+02:00,48.847,2.356,19.2
000BV,2019-06-15 12:00:00+02:00,48.847,2.356,19.883333333333333
000BV,2019-06-15 13:00:00+02:00,48.847,2.356,19.966666666666665
000BV,2019-06-15 14:00:00+02:00,48.847,2.356,19.916666666666668
000BV,2019-06-15 15:00:00+02:00,48.847,2.356,20.2
000BV,2019-06-15 16:00:00+02:00,48.847,2.356,20.933333333333334
000BV,2019-06-15 17:00:00+02:00,48.847,2.356,20.533333333333335
000BV,2019-06-15 18:00:00+02:00,48.847,2.356,20.083333333333332
000BV,2019-06-16 06:00:00+02:00,48.847,2.356,14.416666666666666
000BV,2019-06-16 07:00:00+02:00,48.847,2.356,14.733333333333333
000BV,2019-06-16 08:00:00+02:00,48.847,2.356,15.283333333333333
000BV,2019-06-16 09:00:00+02:00,48.847,2.356,16.150000000000002
000BV,2019-06-16 10:00:00+02:00,48.847,2.356,16.933333333333334
000BV,2019-06-16 11:00:00+02:00,48.847,2.356,18.066666666666666
000BV,2019-06-16 12:00:00+02:00,48.847,2.356,18.383333333333333
000BV,2019-06-16 13:00:00+02:00,48.847,2.356,19.166666666666668
000BV,2019-06-16 14:00:00+02:00,48.847,2.356,19.833333333333332
000BV,2019-06-16 15:00:00+02:00,48.847,2.356,20.566666666666666
000BV,2019-06-16 16:00:00+02:00,48.847,2.356,21.216666666666665
000BV,2019-06-16 17:00:00+02:00,48.847,2.356,21.650000000000002
000BV,2019-06-16 18:00:00+02:00,48.847,2.356,21.383333333333336
000BV,2019-06-17 06:00:00+02:00,48.847,2.356,15.583333333333334
000BV,2019-06-17 07:00:00+02:00,48.847,2.356,17.016666666666666
000BV,2019-06-17 08:00:00+02:00,48.847,2.356,18.383333333333333
000BV,2019-06-17 09:00:00+02:00,48.847,2.356,20.25
000BV,2019-06-17 10:00:00+02:00,48.847,2.356,21.71666666666667
000BV,2019-06-17 11:00:00+02:00,48.847,2.356,22.349999999999998
000BV,2019-06-17 12:00:00+02:00,48.847,2.356,23.650000000000002
000BV,2019-06-17 13:00:00+02:00,48.847,2.356,24.3
000BV,2019-06-17 14:00:00+02:00,48.847,2.356,24.416666666666668
000BV,2019-06-17 15:00:00+02:00,48.847,2.356,25.583333333333332
000BV,2019-06-17 16:00:00+02:00,48.847,2.356,25.816666666666666
000BV,2019-06-17 17:00:00+02:00,48.847,2.356,25.900000000000002
000BV,2019-06-17 18:00:00+02:00,48.847,2.356,25.349999999999998
