station_name,year,month,hour,count
b'ST-MAUR',2022,8,9,31
b'ST-MAUR',2022,8,10,31
b'ST-MAUR',2022,8,11,31
b'ST-MAUR',2022,8,12,31
b'ST-MAUR',2022,8,13,31
b'ST-MAUR',2022,8,14,31
b'ST-MAUR',2022,8,15,31
b'ST-MAUR',2022,8,16,31
b'ST-MAUR',2022,8,17,31
b'ST-MAUR',2022,8,18,31
