year,n_rows,n_stations,n_days,time_local_min,time_local_max,temp_c_min,temp_c_max
2019,5975,5,92,2019-06-01 06:00:00+02:00,2019-08-31 18:00:00+02:00,6.399993896484375,43.300018310546875
2022,5969,5,92,2022-06-01 06:00:00+02:00,2022-08-31 18:00:00+02:00,6.100006103515625,41.399993896484375
