station_name,lat,lon,alt_m,time_utc,time_local,ta_c,rh,source_file
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-02 13:00:00+00:00,2019-06-02 13:00:00,30.899994,32.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-02 14:00:00+00:00,2019-06-02 14:00:00,30.899994,31.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-02 15:00:00+00:00,2019-06-02 15:00:00,31.0,26.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-02 16:00:00+00:00,2019-06-02 16:00:00,30.5,26.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-02 17:00:00+00:00,2019-06-02 17:00:00,30.200012,30.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-02 18:00:00+00:00,2019-06-02 18:00:00,28.899994,34.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-03 06:00:00+00:00,2019-06-03 06:00:00,17.200012,75.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-03 07:00:00+00:00,2019-06-03 07:00:00,17.100006,76.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-03 08:00:00+00:00,2019-06-03 08:00:00,17.100006,78.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-03 09:00:00+00:00,2019-06-03 09:00:00,18.5,76.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
