station_id,lon,lat,inside_roi_or_1px_tol,distance_to_roi_edge_m,emis31,ndvi,mndwi,elevation,note
Station A,2.3338000774383545,48.84469985961914,True,0.0,0.9700000286102295,0.2798500061035156,-0.3016752004623413,59.0,
Station B,2.3378000259399414,48.82170104980469,True,0.0,0.9700000286102295,0.4088999927043915,-0.37545666098594666,66.0,
Station C,2.3378000259399414,48.82170104980469,True,0.0,0.9700000286102295,0.4088999927043915,-0.37545666098594666,66.0,
Station D,2.2337000370025635,48.85480117797852,True,0.0,0.9754999876022339,0.6392499804496765,-0.46856337785720825,31.0,
000CT Paris 6ème,2.24,48.85,True,0.0,0.972000002861023,0.4846000075340271,-0.33261531591415405,42.0,
000EW Paris 20ème,2.41,48.85,True,0.0,0.9700000286102295,0.34130001068115234,-0.29340991377830505,53.0,
