station,station_id,time,lat,lon,temperature
Longchamp,75116008,2022-06-01 06:00:00+02:00,48.854801177978516,2.2337000370025635,6.100000000000023
Longchamp,75116008,2022-06-01 07:00:00+02:00,48.854801177978516,2.2337000370025635,7.800012207031273
Longchamp,75116008,2022-06-01 08:00:00+02:00,48.854801177978516,2.2337000370025635,13.999993896484398
Longchamp,75116008,2022-06-01 09:00:00+02:00,48.854801177978516,2.2337000370025635,15.999993896484398
Longchamp,75116008,2022-06-01 10:00:00+02:00,48.854801177978516,2.2337000370025635,16.700006103515648
Longchamp,75116008,2022-06-01 11:00:00+02:00,48.854801177978516,2.2337000370025635,17.899987792968773
Longchamp,75116008,2022-06-01 12:00:00+02:00,48.854801177978516,2.2337000370025635,18.700006103515648
Longchamp,75116008,2022-06-01 13:00:00+02:00,48.854801177978516,2.2337000370025635,19.999993896484398
Longchamp,75116008,2022-06-01 14:00:00+02:00,48.854801177978516,2.2337000370025635,20.700006103515648
Longchamp,75116008,2022-06-01 15:00:00+02:00,48.854801177978516,2.2337000370025635,21.600000000000023
Longchamp,75116008,2022-06-01 16:00:00+02:00,48.854801177978516,2.2337000370025635,21.899987792968773
Longchamp,75116008,2022-06-01 17:00:00+02:00,48.854801177978516,2.2337000370025635,22.300012207031273
Longchamp,75116008,2022-06-01 18:00:00+02:00,48.854801177978516,2.2337000370025635,21.999993896484398
Longchamp,75116008,2022-06-02 06:00:00+02:00,48.854801177978516,2.2337000370025635,7.300012207031273
Longchamp,75116008,2022-06-02 07:00:00+02:00,48.854801177978516,2.2337000370025635,10.399987792968773
Longchamp,75116008,2022-06-02 08:00:00+02:00,48.854801177978516,2.2337000370025635,13.100000000000023
Longchamp,75116008,2022-06-02 09:00:00+02:00,48.854801177978516,2.2337000370025635,15.999993896484398
Longchamp,75116008,2022-06-02 10:00:00+02:00,48.854801177978516,2.2337000370025635,18.100000000000023
Longchamp,75116008,2022-06-02 11:00:00+02:00,48.854801177978516,2.2337000370025635,18.600000000000023
Longchamp,75116008,2022-06-02 12:00:00+02:00,48.854801177978516,2.2337000370025635,20.300012207031273
Longchamp,75116008,2022-06-02 13:00:00+02:00,48.854801177978516,2.2337000370025635,21.399987792968773
Longchamp,75116008,2022-06-02 14:00:00+02:00,48.854801177978516,2.2337000370025635,23.100000000000023
Longchamp,75116008,2022-06-02 15:00:00+02:00,48.854801177978516,2.2337000370025635,24.100000000000023
Longchamp,75116008,2022-06-02 16:00:00+02:00,48.854801177978516,2.2337000370025635,23.999993896484398
Longchamp,75116008,2022-06-02 17:00:00+02:00,48.854801177978516,2.2337000370025635,24.300012207031273
Longchamp,75116008,2022-06-02 18:00:00+02:00,48.854801177978516,2.2337000370025635,24.899987792968773
Longchamp,75116008,2022-06-03 06:00:00+02:00,48.854801177978516,2.2337000370025635,10.100000000000023
Longchamp,75116008,2022-06-03 07:00:00+02:00,48.854801177978516,2.2337000370025635,12.399987792968773
Longchamp,75116008,2022-06-03 08:00:00+02:00,48.854801177978516,2.2337000370025635,15.600000000000023
Longchamp,75116008,2022-06-03 09:00:00+02:00,48.854801177978516,2.2337000370025635,17.100000000000023
Longchamp,75116008,2022-06-03 10:00:00+02:00,48.854801177978516,2.2337000370025635,18.399987792968773
Longchamp,75116008,2022-06-03 11:00:00+02:00,48.854801177978516,2.2337000370025635,20.300012207031273
Longchamp,75116008,2022-06-03 12:00:00+02:00,48.854801177978516,2.2337000370025635,22.600000000000023
Longchamp,75116008,2022-06-03 13:00:00+02:00,48.854801177978516,2.2337000370025635,23.100000000000023
Longchamp,75116008,2022-06-03 14:00:00+02:00,48.854801177978516,2.2337000370025635,22.100000000000023
Longchamp,75116008,2022-06-03 15:00:00+02:00,48.854801177978516,2.2337000370025635,19.300012207031273
Longchamp,75116008,2022-06-03 16:00:00+02:00,48.854801177978516,2.2337000370025635,19.100000000000023
Longchamp,75116008,2022-06-03 17:00:00+02:00,48.854801177978516,2.2337000370025635,20.200006103515648
Longchamp,75116008,2022-06-03 18:00:00+02:00,48.854801177978516,2.2337000370025635,20.300012207031273
Longchamp,75116008,2022-06-04 06:00:00+02:00,48.854801177978516,2.2337000370025635,15.100000000000023
Longchamp,75116008,2022-06-04 07:00:00+02:00,48.854801177978516,2.2337000370025635,15.300012207031273
Longchamp,75116008,2022-06-04 08:00:00+02:00,48.854801177978516,2.2337000370025635,16.899987792968773
Longchamp,75116008,2022-06-04 09:00:00+02:00,48.854801177978516,2.2337000370025635,16.499993896484398
Longchamp,75116008,2022-06-04 10:00:00+02:00,48.854801177978516,2.2337000370025635,17.200006103515648
Longchamp,75116008,2022-06-04 11:00:00+02:00,48.854801177978516,2.2337000370025635,19.700006103515648
Longchamp,75116008,2022-06-04 12:00:00+02:00,48.854801177978516,2.2337000370025635,22.600000000000023
Longchamp,75116008,2022-06-04 13:00:00+02:00,48.854801177978516,2.2337000370025635,25.300012207031273
Longchamp,75116008,2022-06-04 14:00:00+02:00,48.854801177978516,2.2337000370025635,26.800012207031273
Longchamp,75116008,2022-06-04 15:00:00+02:00,48.854801177978516,2.2337000370025635,28.200006103515648
Longchamp,75116008,2022-06-04 16:00:00+02:00,48.854801177978516,2.2337000370025635,26.499993896484398
Longchamp,75116008,2022-06-04 17:00:00+02:00,48.854801177978516,2.2337000370025635,23.100000000000023
Longchamp,75116008,2022-06-04 18:00:00+02:00,48.854801177978516,2.2337000370025635,18.200006103515648
Longchamp,75116008,2022-06-05 06:00:00+02:00,48.854801177978516,2.2337000370025635,15.399987792968773
